               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038939,             0.01864,          4.9905e-05,             0.48117,             0.45765,             0.41892,             0.13423,            0.052737,            0.011396,          4.1684e-05,            0.003268,            0.003268,            0.003268
                  36,            0.038178,            0.018011,          4.5502e-05,             0.49377,             0.45512,             0.41323,             0.13044,             0.05341,            0.011681,          5.3754e-05,             0.00307,             0.00307,             0.00307
                  37,            0.037773,            0.017538,          4.5522e-05,             0.47507,              0.4651,               0.391,             0.12117,            0.052873,             0.01158,          4.1592e-05,            0.002872,            0.002872,            0.002872
                  38,            0.036962,            0.017631,          4.2715e-05,             0.51278,             0.45006,             0.41155,              0.1307,            0.053616,            0.011662,          2.7074e-05,            0.002674,            0.002674,            0.002674
                  39,            0.036527,            0.017194,          3.8842e-05,             0.47837,             0.45954,             0.39484,             0.12901,            0.052805,            0.011967,          7.0328e-05,            0.002476,            0.002476,            0.002476
                  40,            0.035845,            0.017217,          3.7345e-05,             0.52047,             0.41507,             0.39294,             0.12147,            0.054108,            0.011934,          2.8048e-05,            0.002278,            0.002278,            0.002278
                  41,            0.035059,            0.016941,          3.6301e-05,             0.50653,             0.46068,             0.40315,              0.1248,            0.054086,            0.012146,          7.8922e-05,             0.00208,             0.00208,             0.00208
                  42,            0.034348,            0.016758,          3.4634e-05,             0.49964,             0.44184,             0.37794,             0.11972,            0.053977,            0.012179,          3.1096e-05,            0.001882,            0.001882,            0.001882
                  43,            0.033856,             0.01637,          3.6912e-05,             0.49005,             0.45134,             0.38243,             0.11855,             0.05415,            0.012338,          3.2281e-05,            0.001684,            0.001684,            0.001684
                  44,            0.033034,            0.016213,          3.0486e-05,             0.47328,              0.4665,             0.38756,              0.1231,            0.053872,            0.012569,          3.3901e-05,            0.001486,            0.001486,            0.001486
                  45,            0.032133,            0.015651,          3.3229e-05,             0.49289,             0.44058,             0.39076,             0.12354,            0.054232,            0.012573,          2.9201e-05,            0.001288,            0.001288,            0.001288
                  46,            0.031179,            0.015347,          2.5761e-05,             0.47678,             0.44627,              0.3712,             0.11585,            0.054116,             0.01313,          4.1124e-05,             0.00109,             0.00109,             0.00109
                  47,            0.031201,            0.015357,          2.4773e-05,              0.5061,             0.43679,             0.38288,             0.11939,            0.054384,            0.013095,          2.8361e-05,            0.000892,            0.000892,            0.000892
                  48,            0.030565,            0.015044,          2.3936e-05,             0.52481,             0.42162,             0.37218,             0.11764,             0.05486,            0.013198,          3.8371e-05,            0.000694,            0.000694,            0.000694
                  49,            0.029738,            0.014707,          2.1401e-05,             0.48358,             0.44157,             0.36034,             0.11331,            0.055207,            0.013608,          4.5144e-05,            0.000496,            0.000496,            0.000496
